,popularity,budget,revenue,original_title,cast,director,runtime,vote_average,release_year,genre,production_company
0,32.985763,150000000.0,1513528810.0,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124,6.5,2015,Action,Universal Studios
1,28.419936,150000000.0,378436354.0,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120,7.1,2015,Action,Village Roadshow Pictures
2,13.112507,110000000.0,295238201.0,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,119,6.3,2015,Adventure,Summit Entertainment
3,11.173104,200000000.0,2068178225.0,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136,7.5,2015,Action,Lucasfilm
4,9.335014,190000000.0,1506249360.0,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,137,7.3,2015,Action,Universal Pictures
5,9.1107,135000000.0,532950503.0,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,7.2,2015,Western,Regency Enterprises
6,8.654359,155000000.0,440603537.0,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,125,5.8,2015,Science Fiction,Paramount Pictures
7,7.6674,108000000.0,595380321.0,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141,7.6,2015,Drama,Twentieth Century Fox Film Corporation
8,7.404165,74000000.0,1156730962.0,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,91,6.5,2015,Family,Universal Pictures
9,6.326804,175000000.0,853708609.0,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,94,8.0,2015,Comedy,Walt Disney Pictures
10,6.200282,245000000.0,880674609.0,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,148,6.2,2015,Action,Columbia Pictures
11,6.189369,176000003.0,183987723.0,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,124,5.2,2015,Science Fiction,Village Roadshow Pictures
12,6.118847,15000000.0,36869414.0,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,108,7.6,2015,Drama,DNA Films
13,5.984995,88000000.0,243637091.0,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105,5.8,2015,Action,Columbia Pictures
14,5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141,7.4,2015,Action,Marvel Studios
15,5.8984,44000000.0,155760117.0,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167,7.4,2015,Crime,Double Feature Films
16,5.749758,48000000.0,325771424.0,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109,6.1,2015,Crime,Twentieth Century Fox Film Corporation
17,5.573184,130000000.0,518602163.0,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115,7.0,2015,Science Fiction,Marvel Studios
18,5.556818,95000000.0,542351353.0,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112,6.8,2015,Romance,Walt Disney Pictures
