,popularity,budget,profit_earned,revenue,original_title,cast,director,runtime,vote_average,release_year,genre,country,production_company
0,32.985763,150000000,1363528810,1513528810,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124,6.5,2015,Fantasy,United States,Universal Studios
1,28.419936,150000000,228436354,378436354,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120,7.1,2015,Action,"Australia, United States",Village Roadshow Pictures
2,11.173103999999999,200000000,1868178225,2068178225,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136,7.5,2015,Fantasy,United States,Lucasfilm
3,9.1107,135000000,397950503,532950503,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,7.2,2015,Drama,United States,Regency Enterprises
5,7.6674,108000000,487380321,595380321,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141,7.6,2015,Fantasy,United States,Twentieth Century Fox Film Corporation
6,7.40416499999999,74000000,1082730962,1156730962,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,91,6.5,2015,Animation,United States,Universal Pictures
7,6.326804,175000000,678708609,853708609,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,94,8.0,2015,Adventure,Great Britain,Walt Disney Pictures
9,6.200282,245000000,635674609,880674609,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,148,6.2,2015,Action,"United States, Great Britain",Columbia Pictures
10,6.189369,176000003,7987720,183987723,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,124,5.2,2015,Fantasy,United States,Village Roadshow Pictures
11,6.118847,15000000,21869414,36869414,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,108,7.6,2015,Fantasy,"United States, Great Britain",DNA Films
12,5.984995,88000000,155637091,243637091,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,105,5.8,2015,Fantasy,United States,Columbia Pictures
13,5.944927,280000000,1125035767,1405035767,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,141,7.4,2015,Fantasy,United States,Marvel Studios
14,5.8984,44000000,111760117,155760117,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,167,7.4,2015,Western,United States,Double Feature Films
15,5.749758,48000000,277771424,325771424,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,109,6.1,2015,Action,France,Twentieth Century Fox Film Corporation
16,5.5731839999999995,130000000,388602163,518602163,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,115,7.0,2015,Super-hero,"United States, Great Britain",Marvel Studios
17,5.556818,95000000,447351353,542351353,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,112,6.8,2015,Romantic,Great Britain,Walt Disney Pictures
25,5.476958,160000000,490523427,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,136,6.5,2015,Adventure,United States,Studio Babelsberg
26,5.4621379999999995,190000000,19035668,209035668,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,130,6.2,2015,Fantasy,United States,Walt Disney Pictures
27,5.337064,30000000,61709827,91709827,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,123,7.3,2015,Drama,United States,Escape Artists
28,4.907832,110000000,360490832,470490832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,114,6.1,2015,Action,United States,New Line Cinema
29,4.71040199999999,40000000,529651467,569651467,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,125,5.3,2015,Drama,United States,Focus Features
30,4.648046,28000000,105346506,133346506,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,130,7.3,2015,Drama,United States,Paramount Pictures
31,4.566713,150000000,532330139,682330139,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,131,7.1,2015,Action,United States,Paramount Pictures
32,4.5645489999999995,68000000,147863606,215863606,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,115,6.3,2015,Comedy,United States,Universal Pictures
33,4.503789,81000000,322802136,403802136,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,130,7.6,2015,Action,"United States, Great Britain",Twentieth Century Fox Film Corporation
34,4.062293,20000000,68346473,88346473,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,128,7.8,2015,Drama,United States,Participant Media
